y_test,y_pred
19,17.893099
0,18.666998
55,66.47028
24,30.672913
32,16.066154
3,1.2962862
5,14.360109
48,51.02829
14,10.734285
191,177.91881
317,355.1164
40,50.536583
28,33.411213
49,49.41169
271,255.05783
11,5.645229
257,224.07495
22,20.42162
49,52.979626
44,35.362434
29,36.1863
30,35.418198
60,44.44063
63,54.090267
53,41.673645
326,262.31903
73,63.120674
359,334.9804
9,12.13165
191,181.88321
73,61.214516
43,32.42058
26,36.699883
25,27.949396
36,41.301525
367,329.19653
208,180.47893
25,27.248243
36,36.852837
249,234.23892
25,27.397985
238,321.87973
22,24.044004
27,28.665695
33,39.47362
0,28.571993
527,471.53165
50,33.23897
309,224.45909
85,100.27424
33,25.40459
293,291.1641
49,52.718773
6,3.3453476
357,322.1109
49,48.638462
65,52.151375
9,15.46354
44,41.73754
62,70.16557
27,26.885565
234,267.44727
27,26.772717
49,40.67044
56,56.774136
128,129.11836
56,55.411636
41,43.252098
16,14.125688
256,277.8614
107,104.74433
329,372.5322
6,3.2196088
2,8.539036
28,16.351042
76,49.42335
56,55.2985
48,40.962208
228,206.1546
70,64.98523
210,241.90518
25,29.692085
135,119.48135
23,18.406462
0,21.517027
17,13.9247875
13,7.4716315
40,39.739197
41,42.30154
10,6.8272595
39,35.198162
230,202.04391
37,43.39614
10,8.6147785
215,278.5396
17,10.873859
109,106.35563
38,54.81408
79,88.547295
35,38.451294
45,34.85641
101,91.680336
52,57.490387
364,280.41226
26,35.190548
98,95.81431
10,14.050893
193,196.72029
56,52.333508
4,6.4368105
4,6.3838534
314,273.06906
180,160.57292
74,67.779106
33,38.650578
216,227.51924
134,110.677376
100,92.1488
136,146.14651
53,64.01995
7,14.399631
64,71.15722
21,21.2971
106,105.43037
19,15.753702
19,13.01468
72,84.94317
0,14.233974
54,54.68461
296,248.58879
54,55.731483
214,181.76
46,50.428276
180,180.55878
564,481.85922
13,14.930575
44,44.8181
292,284.30795
700,703.7742
38,36.125164
139,125.231155
4,6.981779
299,382.38022
76,64.64985
47,24.351574
9,7.930749
274,251.4401
244,277.8614
22,26.292538
40,50.99919
21,24.45535
44,40.965603
5,3.301284
56,52.966377
0,45.153416
78,75.57837
7,6.0856867
4,8.819737
147,163.95157
333,286.82822
49,42.368248
46,49.608227
275,264.6195
46,45.32622
313,331.05777
66,78.49712
10,20.250477
165,205.34334
76,74.24697
441,473.03598
0,51.57027
222,287.57758
58,61.17293
50,44.252747
39,36.149673
430,454.988
329,256.34344
82,36.335644
174,185.65039
10,15.278123
4,5.2767043
0,15.125344
259,249.31627
84,38.031708
16,10.816207
37,21.306774
48,46.658863
237,219.76065
67,66.95462
22,12.135354
156,183.17331
40,53.856846
9,8.061058
25,29.810179
4,5.016666
190,136.46936
0,20.213974
7,4.7509995
46,54.52357
29,19.813349
273,261.9602
40,38.365303
526,591.85736
573,628.4808
54,51.571835
286,319.7765
66,38.916492
397,359.49734
95,111.5378
39,27.521198
280,242.19707
5,7.018643
51,45.703136
62,55.83848
10,16.60258
3,1.0601649
75,58.939487
46,48.24528
6,10.979993
13,9.742585
40,42.071957
10,6.2218857
14,11.78089
3,11.154633
43,58.264767
249,304.47574
35,25.686855
44,39.71494
143,188.72495
324,318.6092
71,66.67506
176,163.31871
35,44.983196
5,3.4541497
39,43.94412
192,203.0111
8,16.905502
74,66.74033
25,13.790557
62,66.23665
53,62.251556
71,74.946396
30,28.027441
44,44.431534
0,26.016666
82,92.94309
38,32.029957
31,21.469337
44,47.645
176,89.35685
31,25.020046
38,45.467922
39,35.158604
13,11.179245
35,42.893383
117,95.153076
109,104.07478
6,10.437454
2,5.3579087
