y_test,y_pred
193573.37,180983.83
0.0,21720.15
98470.84,88946.13
76789.63,77063.21
102512.27,118843.96
0.0,61503.16
34366.79,14535.069
68937.03,76387.17
96472.46,103709.75
528991.48,552068.9
876984.52,902722.75
46817.78,29124.896
153477.01,142335.02
161596.16,144074.28
132581.62,134551.86
145722.2,125627.76
121303.69,143029.66
108357.51,111124.484
63363.17,66430.69
23598.92,26774.344
104257.71,103075.81
154148.18,137737.89
169380.82,150126.44
110957.96,129576.71
544459.78,553951.44
73142.23,81401.63
88031.46,86708.81
586139.22,589921.1
476706.14,491950.5
26401.44,23417.314
68743.46,95546.71
164380.98,162881.14
0.0,52359.113
694650.4,738312.9
71670.82,60687.05
84757.6,85117.766
167327.37,158499.52
70162.18,75420.586
111339.98,99975.98
945617.03,990642.75
94299.34,110509.586
136615.58,121111.414
645422.08,636987.5
143223.61,139087.45
559617.7,584373.6
127015.95,124633.22
147762.3,160013.11
0.0,60630.535
141127.8,131702.67
133606.34,130787.07
43065.53,27586.732
128955.6,127349.47
133284.56,122868.53
26828.79,32650.645
107659.42,105986.78
45832.18,44837.387
75472.77,89557.38
82866.01,82508.63
624623.6,663899.94
49241.2,26426.957
121404.43,128015.305
149372.15,144074.28
54322.45,56383.242
0.0,18870.29
99036.67,92379.07
99716.61,110379.67
90197.85,87901.19
213877.88,186265.25
141988.12,134122.55
78064.24,78849.39
447062.4,466473.94
88163.0,94296.22
81104.69,89970.58
152182.69,154924.58
72869.74,47073.887
381097.87,395768.12
424816.94,433080.03
136132.27,168014.53
103900.89,113465.375
64898.99,66874.14
543651.3,561691.3
60824.01,64485.38
143456.32,159446.69
159337.93,162049.2
94603.58,103225.625
47249.46,26128.826
106651.97,116783.71
40010.18,41871.523
45132.7,53594.98
95800.84,96701.72
108156.94,115308.37
142518.38,125733.73
64150.3,58990.88
372625.77,364125.4
438189.36,450161.5
119739.39,124193.44
238839.96,211672.78
200450.99,172738.75
0.0,69102.25
389387.65,403057.1
205353.47,168800.62
172304.77,174217.67
255988.41,249014.27
177134.48,180708.83
71700.31,65824.97
172553.84,175019.64
215102.92,182800.16
99564.33,121209.94
100947.19,107614.13
74126.33,72767.23
32509.98,24809.555
160617.2,146709.83
98518.55,91900.19
171919.76,204408.56
90024.38,87608.055
406961.34,438053.06
521508.04,575656.06
82355.26,53639.242
89457.36,88865.9
47162.84,55085.93
185042.69,181545.1
116659.18,113089.67
537541.58,546728.44
193593.69,192694.55
571575.8,609221.25
480948.72,492065.03
177718.21,156663.5
129256.4,132746.81
658412.37,651375.1
95435.32,108515.11
105073.57,115618.6
130446.96,117378.56
854563.35,858476.6
87386.88,96161.414
89496.46,92548.64
200779.34,168167.94
106801.54,120252.52
48161.44,32181.701
221412.49,225306.12
85593.22,90243.54
123156.5,139918.34
253979.86,226915.83
198505.87,182905.95
107121.14,107900.97
35705.04,42502.023
221332.94,188898.1
173393.32,156107.66
273407.73,260120.83
743751.87,714282.44
677197.78,658459.8
104616.37,120739.016
31155.14,19014.32
475269.69,498005.6
77356.79,83234.8
23383.24,3955.321
0.0,24897.855
35328.52,38738.164
185267.98,203151.22
85320.39,100799.72
71554.21,72686.484
133102.7,121459.96
112213.72,125775.445
98014.33,89254.664
132683.12,124046.67
715383.64,659035.6
36942.7,46167.133
95686.14,105997.56
259841.18,254029.34
87275.63,98784.32
0.0,24169.305
126839.49,118455.67
156932.93,136114.5
89210.85,92198.28
352189.35,372695.72
56602.65,58990.88
114336.08,113027.07
97489.93,89421.85
72331.79,78672.79
720172.76,713741.0
112775.98,112732.91
434845.27,456283.53
128619.5,130118.734
207724.85,201257.92
108246.35,107386.22
73932.97,75100.96
54842.91,71742.305
68721.08,82213.664
55122.38,56282.18
120826.81,105359.7
45694.53,39124.082
74461.87,78228.12
66995.74,85357.25
166201.33,150243.58
273504.87,266243.12
50770.24,55523.938
88371.02,95400.93
